iso,name
AD,Андорра
AE,Объединенные Арабские Эмираты
AF,Афганистан
AG,Антигуа и Барбуда
AL,Албания
AM,Армения
AO,Ангола
AR,Аргентина
AT,Австрия
AU,Австралия
AZ,Азербайджан
BA,Босния и Герцеговина
BB,Барбадос
BD,Бангладеш
BE,Бельгия
BF,Буркина‐Фасо
BG,Болгария
BH,Бахрейн
BI,Бурунди
BJ,Бенин
BN,Бруней Дарассалам
BO,Боливия
BR,Бразилия
BS,Багамские Острова
BT,Бутан
BW,Ботсвана
BY,Белоруссия
BZ,Белиз
CA,Канада
CD,Демократическая Республика Конго
CF,Центрально‐африканская Республика
CG,Республика Конго
CH,Швейцария
CI,Кот‐д'Ивуар
CL,Чили
CM,Камерун
CN,Китай
CO,Колумбия
CR,Коста‐Рика
CU,Куба
CV,Кабо‐Верде
CY,Кипр
CZ,Чехия
DE,Германия
DJ,Джибути
DK,Дания
DM,Доминика
DO,Доминиканская Республика
DZ,Алжир
EC,Эквадор
EE,Эстония
EG,Египет
EH,Западная Сахара
ER,Эритрия
ES,Испания
ET,Эфиопия
FI,Финляндия
FJ,Фиджи
FR,Франция
GA,Габон
GB,Великобритания
GD,Гренада
GE,Грузия
GF,Французская Гвиана (FR)
GG,Гернси
GH,Гана
GL,Гренландия (DK)
GM,Гамбия
GN,Гвинея
GP,Гваделупа
GQ,Экваториальная Гвинея
GR,Греция
GT,Гватемала
GU,Гуам
GW,Гвинея-Бисау
GY,Гайана
HN,Гондурас
HR,Хорватия
HT,Гаити
HU,Венгрия
ID,Индонезия
IE,Ирландия
IL,Израиль
IN,Индия
IQ,Ирак
IR,Иран
IS,Исландия
IT,Италия
JE,Джерси (остров)
JM,Ямайка
JO,Иордания
JP,Япония
KE,Кения
KG,Киргизстан
KH,Камбоджа
KN,Сент-Китс и Невис
KR,Южная Корея (Республика Корея)
KW,Кувейт
KZ,Казахстан
LA,Лаос
LB,Ливан
LC,Сент‐Люсия
LI,Лихтенштейн
LK,Шри‐Ланка
LR,Либерия
LT,Литва
LU,Люксембург
LV,Латвия
LY,Ливия
MA,Марокко
MC,Монако
MD,Молдова
ME,Черногория
MG,Мадагаскар
MK,Македония
ML,Мали
MM,Мьянма
MN,Монголия
MQ,Мартиника
MR,Мавритания
MT,Мальта
MU,Маврикий
MV,Мальдивы
MW,Малави
MX,Мексика
MY,Малайзия
MZ,Мозамбик
NA,Намибия
NE,Нигер
NG,Нигерия
NI,Никарагуа
NL,Нидерланды
NO,Норвегия
NP,Непал
NZ,Новая Зеландия
OM,Оман
PA,Панама
PE,Перу
PG,Папуа‐Новая Гвинея
PH,Филиппины
PK,Пакистан
PL,Польша
PR,Пуэрто‐Рико (US)
PS,Западный берег и сектор Газа
PT,Португалия
PY,Парагвай
QA,Катар
RE,Реюньон о. (FR)
RO,Румыния
RS,Сербия
RU,Россия
RW,Руанда
SA,Саудовская Аравия
SC,Сейшелы
SD,Судан
SE,Швеция
SG,Сингапур
SI,Словения
SK,Словакия
SL,Сьерра-Леоне
SM,Сан Марино
SN,Сенегал
SO,Сомали
SR,Суринам
SS,Южный Судан
ST,Сан-Томе и Принсипи
SV,Сальвадор
SY,Сирия
SZ,Свазиленд
TD,Чад
TG,Того
TH,Таиланд
TL,Восточный Тимор
TN,Тунис
TR,Турция
TT,Тринидад и Тобаго
TW,Тайвань
TZ,Танзания
UA,Украина
UG,Уганда
US,Соединенные Штаты Америки
UY,Уругвай
UZ,Узбекистан
VA,Ватикан
VC,Сен‐Винсент и Гренадины
VE,Венесуэла
VN,Вьетнам
XK,Косово
YE,Йемен
YT,Майотта о. (KM)
ZA,Южная Африка
ZM,Замбия
ZW,Зимбабве
